number,position,positionText,points,grid,laps,status,driverId,constructorId,Time.millis,Time.time,FastestLap.rank,FastestLap.lap,FastestLap.Time.time,FastestLap.AverageSpeed.units,FastestLap.AverageSpeed.speed,season,round
2,11,11,0,5,72,+3 Laps,regazzoni,ferrari,,,,,,,,1976,4
26,12,12,0,8,72,+3 Laps,laffite,ligier,,,,,,,,1976,4
37,13,13,0,24,72,+3 Laps,perkins,boro,,,,,,,,1976,4
12,14,R,0,4,65,Engine,mass,mclaren,,,,,,,,1976,4
17,15,R,0,15,61,Electrical,jarier,shadow,,,,,,,,1976,4
3,16,R,0,14,53,Engine,scheckter,tyrrell,,,,,,,,1976,4
28,17,R,0,13,51,Engine,watson,penske,,,,,,,,1976,4
35,18,R,0,18,36,Gearbox,merzario,march,,,,,,,,1976,4
5,19,R,0,9,34,Gearbox,mario_andretti,team_lotus,,,,,,,,1976,4
4,20,R,0,3,25,Accident,depailler,tyrrell,,,,,,,,1976,4
9,21,R,0,6,21,Suspension,brambilla,march,,,,,,,,1976,4
34,22,R,0,17,16,Gearbox,stuck,march,,,,,,,,1976,4
10,23,R,0,16,11,Transmission,peterson,march,,,,,,,,1976,4
30,24,R,0,19,3,Transmission,emerson_fittipaldi,fittipaldi,,,,,,,,1976,4
18,25,F,0,0,0,Did not qualify,lunger,surtees,,,,,,,,1976,4
32,26,F,0,0,0,Did not qualify,kessel,brabham-ford,,,,,,,,1976,4
25,27,F,0,0,0,Did not qualify,zapico,williams,,,,,,,,1976,4
33,28,F,0,0,0,Did not qualify,villota,brabham-ford,,,,,,,,1976,4
24,29,F,0,0,0,Did not qualify,ertl,hesketh,,,,,,,,1976,4
31,30,F,0,0,0,Did not qualify,hoffmann,fittipaldi,,,,,,,,1976,4
44,1,1,25,2,56,Finished,hamilton,mercedes,5526350,1:32:06.350,5,47,1:35.892,kph,204.642,2019,3
77,2,2,18,1,56,Finished,bottas,mercedes,5532902,+6.552,4,38,1:34.872,kph,206.842,2019,3
5,3,3,15,3,56,Finished,vettel,ferrari,5540124,+13.774,2,37,1:34.836,kph,206.921,2019,3
33,4,4,12,5,56,Finished,max_verstappen,red_bull,5553977,+27.627,6,45,1:36.143,kph,204.108,2019,3
