season,round,url,raceName,date,circuitId,time
1970,10,http://en.wikipedia.org/wiki/1970_Italian_Grand_Prix,Italian Grand Prix,1970-09-06,monza,
1970,11,http://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix,Canadian Grand Prix,1970-09-20,tremblant,
1970,12,http://en.wikipedia.org/wiki/1970_United_States_Grand_Prix,United States Grand Prix,1970-10-04,watkins_glen,
1970,13,http://en.wikipedia.org/wiki/1970_Mexican_Grand_Prix,Mexican Grand Prix,1970-10-25,rodriguez,
2014,1,https://en.wikipedia.org/wiki/2014_Australian_Grand_Prix,Australian Grand Prix,2014-03-16,albert_park,06:00:00Z
2014,2,https://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix,Malaysian Grand Prix,2014-03-30,sepang,08:00:00Z
2014,3,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix,Bahrain Grand Prix,2014-04-06,bahrain,15:00:00Z
2014,4,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix,Chinese Grand Prix,2014-04-20,shanghai,07:00:00Z
2014,5,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix,Spanish Grand Prix,2014-05-11,catalunya,12:00:00Z
2014,6,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix,Monaco Grand Prix,2014-05-25,monaco,12:00:00Z
2014,7,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix,Canadian Grand Prix,2014-06-08,villeneuve,18:00:00Z
2014,8,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix,Austrian Grand Prix,2014-06-22,red_bull_ring,12:00:00Z
2014,9,http://en.wikipedia.org/wiki/2014_British_Grand_Prix,British Grand Prix,2014-07-06,silverstone,12:00:00Z
2014,10,http://en.wikipedia.org/wiki/2014_German_Grand_Prixs,German Grand Prix,2014-07-20,hockenheimring,12:00:00Z
2014,11,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix,Hungarian Grand Prix,2014-07-27,hungaroring,12:00:00Z
2014,12,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix,Belgian Grand Prix,2014-08-24,spa,12:00:00Z
